fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
0.24778761061946908,0.3972602739726027,0.0,0.0684931506849315,0.10684474123539232,0.14925373134328357,0.0989399293286219,0.5675477239353917,0.6062992125984251,0.13772455089820362,0.15384615384615385,0,0.0
0.2831858407079646,0.5205479452054794,0.0,0.11643835616438358,0.14357262103505844,0.3582089552238806,0.21554770318021202,0.49412628487518584,0.3622047244094489,0.20958083832335334,0.21538461538461545,0,0.0006261740763932373
0.2831858407079646,0.4383561643835617,0.04,0.0958904109589041,0.13355592654424042,0.208955223880597,0.1696113074204947,0.5088105726872254,0.4094488188976376,0.19161676646706588,0.21538461538461545,0,0.0012523481527864746
0.5840707964601769,0.10958904109589043,0.56,0.0684931506849315,0.10517529215358933,0.23880597014925373,0.19081272084805653,0.5822320117474312,0.3307086614173229,0.1497005988023952,0.21538461538461545,0,0.001878522229179712
0.24778761061946908,0.3972602739726027,0.0,0.0684931506849315,0.10684474123539232,0.14925373134328357,0.0989399293286219,0.5675477239353917,0.6062992125984251,0.13772455089820362,0.15384615384615385,0,0.002504696305572949
0.24778761061946908,0.36986301369863017,0.0,0.06164383561643836,0.10517529215358933,0.1791044776119403,0.12014134275618374,0.5675477239353917,0.6062992125984251,0.13772455089820362,0.15384615384615385,0,0.0031308703819661866
0.29203539823008856,0.3287671232876712,0.06,0.04794520547945206,0.09515859766277131,0.208955223880597,0.1872791519434629,0.4647577092510986,0.4409448818897636,0.07784431137724551,0.15384615384615385,0,0.003757044458359424
0.23893805309734514,0.363013698630137,0.0,0.020547945205479447,0.08848080133555927,0.208955223880597,0.053003533568904596,0.33259911894273464,0.5118110236220473,0.0838323353293413,0.2461538461538461,1,0.004383218534752661
0.2831858407079646,0.3150684931506849,0.02,0.07534246575342467,0.1018363939899833,0.11940298507462686,0.04240282685512368,0.49412628487518584,0.48818897637795267,0.14371257485029937,0.16923076923076918,1,0.005009392611145898
0.1858407079646018,0.3150684931506849,0.08,0.06164383561643836,0.14190317195325527,0.208955223880597,0.20848056537102475,0.42804698972099975,0.4251968503937006,0.125748502994012,0.12307692307692292,0,0.006261740763932373
0.08849557522123894,0.339041095890411,0.0,0.04794520547945206,0.1285475792988314,0.22388059701492538,0.1872791519434629,0.3105726872246672,0.6614173228346458,0.11377245508982037,0.23076923076923078,0,0.007514088916718848
0.2831858407079646,0.3356164383561644,0.29,0.04794520547945206,0.17028380634390652,0.11940298507462686,0.0812720848056537,0.5381791483113044,0.4094488188976376,0.7365269461077845,0.10769230769230759,0,0.008140262993112084
0.3451327433628319,0.10958904109589043,0.56,0.06164383561643836,0.13355592654424042,0.5074626865671642,0.34275618374558303,0.5014684287812056,0.4409448818897636,0.25149700598802394,0.32307692307692304,1,0.010018785222291797
0.29203539823008856,0.13698630136986303,0.51,0.06164383561643836,0.5492487479131887,0.23880597014925373,0.17667844522968199,0.5014684287812056,0.23622047244094482,0.44910179640718567,0.12307692307692292,0,0.011897307451471509
0.2654867256637168,0.18493150684931509,0.31,0.0958904109589041,0.1168614357262102,0.3283582089552239,0.22968197879858657,0.5969162995594707,0.6141732283464567,0.19161676646706588,0.19999999999999984,0,0.013149655604257984
0.29203539823008856,0.2123287671232877,0.21,0.04794520547945206,0.15692821368948248,0.13432835820895522,0.10954063604240283,0.4794419970631463,0.33858267716535423,0.34730538922155696,0.16923076923076918,0,0.013775829680651221
0.3451327433628319,0.2534246575342466,0.11,0.0958904109589041,0.12020033388981638,0.11940298507462686,0.21554770318021202,0.49412628487518584,0.33858267716535423,0.11976047904191618,0.15384615384615385,0,0.014402003757044458
0.2035398230088496,0.19178082191780824,0.14,0.10273972602739727,0.12186978297161939,0.29850746268656714,0.12014134275618374,0.49412628487518584,0.5433070866141734,0.17964071856287425,0.19999999999999984,0,0.015028177833437696
0.1504424778761062,0.18493150684931509,0.16,0.034246575342465745,0.11352253756260436,0.14925373134328357,0.06007067137809187,0.3986784140969207,0.47244094488188965,0.13772455089820362,0.13846153846153852,0,0.015654351909830933
